Name: models/gemini-2.5-flash | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Name: models/gemini-2.5-pro | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Name: models/gemini-2.0-flash | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Name: models/gemini-2.0-flash-001 | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Name: models/gemini-2.0-flash-lite-001 | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Name: models/gemini-2.0-flash-lite | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Name: models/gemini-2.5-flash-preview-tts | Methods: ['countTokens', 'generateContent']
Name: models/gemini-2.5-pro-preview-tts | Methods: ['countTokens', 'generateContent', 'batchGenerateContent']
Name: models/gemma-3-1b-it | Methods: ['generateContent', 'countTokens']
Name: models/gemma-3-4b-it | Methods: ['generateContent', 'countTokens']
Name: models/gemma-3-12b-it | Methods: ['generateContent', 'countTokens']
Name: models/gemma-3-27b-it | Methods: ['generateContent', 'countTokens']
Name: models/gemma-3n-e4b-it | Methods: ['generateContent', 'countTokens']
Name: models/gemma-3n-e2b-it | Methods: ['generateContent', 'countTokens']
Name: models/gemini-flash-latest | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Name: models/gemini-flash-lite-latest | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Name: models/gemini-pro-latest | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Name: models/gemini-2.5-flash-lite | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Name: models/gemini-2.5-flash-image | Methods: ['generateContent', 'countTokens', 'batchGenerateContent']
Name: models/gemini-2.5-flash-lite-preview-09-2025 | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Name: models/gemini-3-pro-preview | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Name: models/gemini-3-flash-preview | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Name: models/gemini-3.1-pro-preview | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Name: models/gemini-3.1-pro-preview-customtools | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Name: models/gemini-3.1-flash-lite-preview | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Name: models/gemini-3-pro-image-preview | Methods: ['generateContent', 'countTokens', 'batchGenerateContent']
Name: models/nano-banana-pro-preview | Methods: ['generateContent', 'countTokens', 'batchGenerateContent']
Name: models/gemini-3.1-flash-image-preview | Methods: ['generateContent', 'countTokens', 'batchGenerateContent']
Name: models/gemini-robotics-er-1.5-preview | Methods: ['generateContent', 'countTokens']
Name: models/gemini-2.5-computer-use-preview-10-2025 | Methods: ['generateContent', 'countTokens']
Name: models/deep-research-pro-preview-12-2025 | Methods: ['generateContent', 'countTokens']
Name: models/gemini-embedding-001 | Methods: ['embedContent', 'countTextTokens', 'countTokens', 'asyncBatchEmbedContent']
Name: models/gemini-embedding-2-preview | Methods: ['embedContent', 'countTextTokens', 'countTokens', 'asyncBatchEmbedContent']
Name: models/aqa | Methods: ['generateAnswer']
Name: models/imagen-4.0-generate-001 | Methods: ['predict']
Name: models/imagen-4.0-ultra-generate-001 | Methods: ['predict']
Name: models/imagen-4.0-fast-generate-001 | Methods: ['predict']
Name: models/veo-2.0-generate-001 | Methods: ['predictLongRunning']
Name: models/veo-3.0-generate-001 | Methods: ['predictLongRunning']
Name: models/veo-3.0-fast-generate-001 | Methods: ['predictLongRunning']
Name: models/veo-3.1-generate-preview | Methods: ['predictLongRunning']
Name: models/veo-3.1-fast-generate-preview | Methods: ['predictLongRunning']
Name: models/gemini-2.5-flash-native-audio-latest | Methods: ['countTokens', 'bidiGenerateContent']
Name: models/gemini-2.5-flash-native-audio-preview-09-2025 | Methods: ['countTokens', 'bidiGenerateContent']
Name: models/gemini-2.5-flash-native-audio-preview-12-2025 | Methods: ['countTokens', 'bidiGenerateContent']
